 ,Area,Mean,IntDen,RawIntDen
1,7934,0.0024,19.0000,19.0000
2,9802,0.0016,16.0000,16.0000
3,12752,0.0020,25.0000,25.0000
4,10597,0.0035,37.0000,37.0000
5,12306,0.0022,27.0000,27.0000
