 ,Area,Mean,IntDen,RawIntDen
139,5696,0.0025,14.0000,14.0000
140,9079,0.0014,13.0000,13.0000
141,12546,0.0032,40.0000,40.0000
142,14883,0.0037,55.0000,55.0000
143,6299,0.0027,17.0000,17.0000
144,9940,0.0027,27.0000,27.0000
145,8410,0.0030,25.0000,25.0000
146,4814,0.0042,20.0000,20.0000
147,9061,0.0021,19.0000,19.0000
148,6944,0.0027,19.0000,19.0000
149,9910,0.0036,36.0000,36.0000
150,11212,0.0021,24.0000,24.0000
151,6544,0.0035,23.0000,23.0000
152,11365,0.0026,30.0000,30.0000
153,3878,0.0036,14.0000,14.0000
154,5802,0.0024,14.0000,14.0000
155,6812,0.0012,8.0000,8.0000
156,4688,0.0021,10.0000,10.0000
157,6480,0.0026,17.0000,17.0000
158,4071,0.0020,8.0000,8.0000
159,4322,0.0028,12.0000,12.0000
160,8574,0.0019,16.0000,16.0000
161,6626,0.0023,15.0000,15.0000
162,7354,0.0029,21.0000,21.0000
163,14641,0.0019,28.0000,28.0000
164,7230,0.0006,4.0000,4.0000
165,6263,0.0018,11.0000,11.0000
166,8043,0.0019,15.0000,15.0000
167,5494,0.0024,13.0000,13.0000
168,10056,0.0010,10.0000,10.0000
169,5450,0.0039,21.0000,21.0000
170,9196,0.0011,10.0000,10.0000
171,5713,0.0023,13.0000,13.0000
172,4279,0.0049,21.0000,21.0000
173,4100,0.0002,1.0000,1.0000
174,3980,0.0033,13.0000,13.0000
175,9546,0.0026,25.0000,25.0000
176,3273,0.0031,10.0000,10.0000
177,3915,0.0008,3.0000,3.0000
178,4108,0.0002,1.0000,1.0000
179,7450,0.0009,7.0000,7.0000
180,4817,0.0048,23.0000,23.0000
